#,1,2,3,4
0,0,0,0,1|2|3|4
1,1,1,500,2|3|4
2,50,1,500,2|3|4
3,250,1,750,2|3|4
4,150,1,750,2|3|4
5,50,1,500,2|3|4
6,50,1,500,2|3|4
7,100,1,300,2|3|4
8,15,1,750,1|2|3|4
101,10,2,1000,1|2|3|4
102,20,2,1000,1|2|3|4
103,20,2,1000,1|2|3|4
201,50,3,500,2|3|4
202,25,3,750,1|2|3|4
203,15,3,750,2|3|4
204,50,3,500,1|2|3|4
205,20,3,500,2|3
206,5,3,500,2|3|4
301,10,4,500,2|3|4
302,5,4,750,1|2|3|4
303,3,4,750,2|3|4
304,15,4,750,1|2|3|4
305,4,4,500,2|3
401,25,5,500,2|3|4
402,10,5,1000,2|3|4
403,2,5,1000,2|3|4
404,5,5,750,2|3|4
501,15,6,750,2|3
502,10,6,1000,2|3
601,50,7,2100,2|3
602,50,7,750,2|3
